epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,133.595,0.74768,0.92932,1.15198,0.65159,0.68565,0.54405,0.28824,1.86692,1.90682,1.77619,0.000489562,0.000489562,0.000489562
115,134.814,0.76038,0.89831,1.19086,0.66369,0.70244,0.5491,0.28982,1.79222,1.80046,1.78963,0.000484063,0.000484063,0.000484063
116,136.359,0.68661,0.90166,1.18707,0.66406,0.7416,0.54946,0.27728,1.77489,1.58338,1.78473,0.000478563,0.000478563,0.000478563
117,137.774,0.75043,0.88606,1.14828,0.66406,0.7416,0.54946,0.27728,1.77489,1.58338,1.78473,0.000473064,0.000473064,0.000473064
118,138.828,0.74405,1.0456,1.18765,0.67117,0.72765,0.54182,0.27577,1.77832,1.42129,1.82364,0.000467564,0.000467564,0.000467564
119,139.993,0.80325,1.01495,1.18779,0.66124,0.47648,0.52238,0.29225,1.7723,1.37289,1.88682,0.000462065,0.000462065,0.000462065
120,141.031,0.78802,0.97292,1.14735,0.69043,0.5,0.50552,0.28277,1.81466,1.36841,2.00176,0.000456565,0.000456565,0.000456565
121,141.987,0.78423,0.99616,1.12202,0.69043,0.5,0.50552,0.28277,1.81466,1.36841,2.00176,0.000451066,0.000451066,0.000451066
122,143.011,0.8015,1.01372,1.19362,0.95047,0.49227,0.50232,0.30932,1.65992,1.34565,1.94791,0.000445567,0.000445567,0.000445567
123,143.957,0.69544,1.01581,1.18592,0.94933,0.48897,0.4975,0.31143,1.55866,1.26803,1.90761,0.000440067,0.000440067,0.000440067
124,145.06,0.67143,0.86054,1.14503,0.94942,0.48304,0.4975,0.30666,1.56405,1.26324,1.91225,0.000434568,0.000434568,0.000434568
125,145.986,0.68435,1.03022,1.15803,0.94942,0.48304,0.4975,0.30666,1.56405,1.26324,1.91225,0.000429068,0.000429068,0.000429068
126,147.127,0.65418,0.85651,1.13329,0.94443,0.49215,0.50114,0.30518,1.56945,1.29432,1.89404,0.000423569,0.000423569,0.000423569
127,148.372,0.72193,0.93303,1.15148,0.96451,0.49331,0.4975,0.35548,1.4865,1.30954,1.84379,0.000418069,0.000418069,0.000418069
128,149.995,0.74745,0.96424,1.17259,0.98455,0.5,0.5004,0.36623,1.57005,1.39836,1.86038,0.00041257,0.00041257,0.00041257
129,151.293,0.672,0.88587,1.13676,0.98455,0.5,0.5004,0.36623,1.57005,1.39836,1.86038,0.00040707,0.00040707,0.00040707
130,152.306,0.69135,0.88588,1.16281,0.71569,0.5,0.51183,0.36958,1.63794,1.51651,1.87773,0.000401571,0.000401571,0.000401571
131,153.478,0.71423,0.89471,1.16522,0.73174,0.46146,0.50935,0.37124,1.66634,1.58689,1.85332,0.000396071,0.000396071,0.000396071
132,154.518,0.67613,0.90876,1.16543,0.73609,0.44621,0.51823,0.32465,1.68045,1.63455,1.8702,0.000390572,0.000390572,0.000390572
133,155.493,0.69426,0.879,1.17189,0.73609,0.44621,0.51823,0.32465,1.68045,1.63455,1.8702,0.000385073,0.000385073,0.000385073
134,156.52,0.66575,0.84628,1.09892,0.99015,0.43909,0.52011,0.33713,1.57912,1.50423,1.83142,0.000379573,0.000379573,0.000379573
135,157.599,0.68837,0.86862,1.15481,0.99147,0.44206,0.52859,0.35607,1.38087,1.337,1.72809,0.000374074,0.000374074,0.000374074
136,158.586,0.63704,0.82567,1.06557,0.72114,0.49345,0.53304,0.36492,1.26092,1.1586,1.61732,0.000368574,0.000368574,0.000368574
137,159.593,0.70578,0.94376,1.14636,0.72114,0.49345,0.53304,0.36492,1.26092,1.1586,1.61732,0.000363075,0.000363075,0.000363075
138,160.656,0.66414,0.8347,1.12455,0.98608,0.5,0.55969,0.37512,1.22942,1.06633,1.59584,0.000357575,0.000357575,0.000357575
139,162.019,0.68446,0.84044,1.12466,0.98624,0.5,0.55969,0.37897,1.25089,1.08608,1.60927,0.000352076,0.000352076,0.000352076
140,163.642,0.67173,0.81672,1.08514,0.98603,0.5,0.53896,0.3526,1.22868,1.12941,1.58624,0.000346576,0.000346576,0.000346576
141,164.992,0.62015,0.83552,1.05541,0.98603,0.5,0.53896,0.3526,1.22868,1.12941,1.58624,0.000341077,0.000341077,0.000341077
142,166.048,0.64384,0.83888,1.06993,0.73558,0.5,0.53304,0.33874,1.26049,1.13316,1.62539,0.000335578,0.000335578,0.000335578
143,166.975,0.65713,0.85444,1.0528,0.73477,0.5,0.53304,0.31555,1.34269,1.1481,1.7131,0.000330078,0.000330078,0.000330078
144,168.072,0.66582,0.87464,1.09233,0.73238,0.5,0.53493,0.30992,1.39637,1.20288,1.7814,0.000324579,0.000324579,0.000324579
145,169.091,0.59936,0.76835,1.09117,0.73238,0.5,0.53493,0.30992,1.39637,1.20288,1.7814,0.000319079,0.000319079,0.000319079
146,170.018,0.59175,0.84559,1.05765,0.72532,0.5,0.53464,0.31064,1.40533,1.2374,1.77891,0.00031358,0.00031358,0.00031358
147,171.152,0.6083,0.80461,1.12213,0.71853,0.5,0.52659,0.33098,1.43981,1.28829,1.77073,0.00030808,0.00030808,0.00030808
148,172.161,0.714,0.86298,1.06732,0.72462,0.5,0.52646,0.33215,1.44482,1.27813,1.7458,0.000302581,0.000302581,0.000302581
149,173.232,0.68964,0.78213,1.11914,0.72462,0.5,0.52646,0.33215,1.44482,1.27813,1.7458,0.000297081,0.000297081,0.000297081
150,174.275,0.6899,0.86173,1.18784,0.7251,0.5,0.51305,0.32818,1.43032,1.23682,1.71026,0.000291582,0.000291582,0.000291582
151,175.684,0.74092,0.85883,1.18038,0.72539,0.5,0.51213,0.32485,1.42701,1.22142,1.70135,0.000286083,0.000286083,0.000286083
152,177.203,0.57918,0.77946,1.05659,0.72863,0.5,0.51527,0.32779,1.39026,1.19974,1.67892,0.000280583,0.000280583,0.000280583
153,178.421,0.68146,0.80101,1.15081,0.72863,0.5,0.51527,0.32779,1.39026,1.19974,1.67892,0.000275084,0.000275084,0.000275084
154,179.376,0.57046,0.75786,1.04996,0.73023,0.5,0.53304,0.3342,1.37811,1.28936,1.69696,0.000269584,0.000269584,0.000269584
155,180.423,0.63967,0.74946,1.07554,0.73301,0.5,0.53304,0.33195,1.36467,1.29466,1.68309,0.000264085,0.000264085,0.000264085
156,181.436,0.65781,0.76801,1.08213,0.73029,0.5,0.53948,0.33475,1.35907,1.29691,1.65403,0.000258585,0.000258585,0.000258585
157,182.482,0.64749,0.77635,1.10649,0.73029,0.5,0.53948,0.33475,1.35907,1.29691,1.65403,0.000253086,0.000253086,0.000253086
158,183.511,0.58408,0.70764,1.0807,0.72639,0.5,0.53954,0.33711,1.36969,1.32036,1.65871,0.000247586,0.000247586,0.000247586
159,184.521,0.5775,0.74802,1.09555,0.71779,0.5,0.56036,0.34079,1.39223,1.31956,1.66092,0.000242087,0.000242087,0.000242087
160,185.609,0.62304,0.81456,1.13939,0.70999,0.5,0.54803,0.35845,1.3772,1.28402,1.63985,0.000236587,0.000236587,0.000236587
161,186.581,0.58388,0.75716,1.09612,0.70999,0.5,0.54803,0.35845,1.3772,1.28402,1.63985,0.000231088,0.000231088,0.000231088
162,187.71,0.62809,0.75209,1.04484,0.70226,0.5,0.56075,0.36793,1.32814,1.24597,1.64385,0.000225589,0.000225589,0.000225589
163,189.369,0.61194,0.75754,1.08733,0.69906,0.5,0.56071,0.36543,1.30361,1.25463,1.68284,0.000220089,0.000220089,0.000220089
164,190.982,0.61928,0.8564,1.12809,0.68201,0.5,0.55969,0.37127,1.27425,1.20007,1.67006,0.00021459,0.00021459,0.00021459
